task_id,task_name,status,priority,time_estimate,description,tags,sprint,parent_id
PMO-001,Bootstrap living PMO workspace,done,P0,480,"Create project-management SoT, exports, Cursor rule, printable boards.","pmo,meta",00,
SEO-001,Ship Product/Offer/Breadcrumb JSON-LD on PDP+PLP,done,P0,960,"Complete structured data for products, offers, breadcrumbs, organization.","seo,schema",01,
SEO-002,Category hub content + internal linking for mid-tail,done,P0,1440,Write hub intros for L1/L2 metrology+cutting; link to leaves and guides.,"seo,content",01,
SEO-003,Publish 24 buyer-intent articles (calendar),done,P0,3600,"One article per mid-tail cluster (کولیس دیجیتال, میکرومتر خارج‌سنج, …).","content,seo",02,
SEO-004,Technical SEO crawl hygiene,done,P0,720,"Canonicals, sitemap freshness, robots, hreflang if needed, indexation audit.","seo,tech",01,
CAT-001,Close enrichment PR triage (Dasqua/Mitutoyo/etc.),done,P1,480,Merge or close remaining enrichment PRs with content-only guarantees.,"catalog,ops",00,
CAT-002,INSIZE JSON-schema content fill (staging apply),todo,P1,1200,DEFERRED post-checkpoint; owner PMO; revisit 2026-09-23; content-only no invented specs.,"insize,content",02,
CAT-003,Category image coverage for all L1+key L2,done,P1,600,Ensure every homepage/megamenu root has full-bleed quality image.,"ui,images",00,
UX-001,PLP filter + hub IA polish,done,P1,1200,"Improve category PLP filters, empty states, mobile sheet clarity.",ux,01,
UX-002,PDP trust + specs presentation,done,P0,960,Clarify short vs long description; specs SoT; no duplicate bullets.,"ux,pdp",01,
PERF-001,Core Web Vitals pass on home+PDP+PLP,done,P0,1440,LCP/INP/CLS budgets; image priority; font subsetting.,"perf,cwv",02,
SEC-001,Security hygiene pass for go-live bar,done,P1,720,"Admin noindex, step-up coverage, dependency scan, secrets audit.",security,03,
BE-001,Catalog API readiness for SEO fields,done,P1,600,"Ensure short_description, meta, specs exposed consistently to storefront.","backend,seo",00,
FE-001,Design system tokens + homepage consistency,done,P2,720,Align home sections after hero/categories/why-karzar polish.,design,01,
KB-001,Knowledge platform phase-1 content graph seed,todo,P2,1800,DEFERRED post-checkpoint; owner PMO; revisit 2026-09-23; link articles↔products↔categories without second taxonomy.,knowledge,04,
REL-001,Release readiness for 31 Shahrivar checkpoint,done,P0,600,"Freeze P0s, changelog, rollback plan, monitoring checklist.",release,04,
TD-001,Pay down category depth / selectable FE drift,done,P2,360,Align admin FE helpers with depth-2|3 selectable rule everywhere.,techdebt,00,
OPS-001,Merge promote-measurement workflow fix #81,done,P2,120,Land no-checkout workflow for taxonomy promote on VPS.,"ops,ci",00,
AODS-001,Design the AI-Orchestrated Development System (AODS),in_progress,P1,1440,"Audit the repository, then design the governing process system for AI-assisted development: authority model, conflict register, lifecycle, workflow DAG, roles, artifacts, AI execution and Auto Mode strategy, context management, human checkpoints, prompt library, validation gates, risk, knowledge flow, governance, adoption plan. Process-only: no application behaviour changes.","aods,governance,meta,process",04,
