task_id,task_name,status,priority,hours,description,sprint,tags
PMO-001,Bootstrap living PMO workspace,done,P0,8,"Create project-management SoT, exports, Cursor rule, printable boards.",00,"pmo,meta"
SEO-001,Ship Product/Offer/Breadcrumb JSON-LD on PDP+PLP,done,P0,16,"Complete structured data for products, offers, breadcrumbs, organization.",01,"seo,schema"
SEO-002,Category hub content + internal linking for mid-tail,done,P0,24,Write hub intros for L1/L2 metrology+cutting; link to leaves and guides.,01,"seo,content"
SEO-003,Publish 24 buyer-intent articles (calendar),done,P0,60,"One article per mid-tail cluster (کولیس دیجیتال, میکرومتر خارج‌سنج, …).",02,"content,seo"
SEO-004,Technical SEO crawl hygiene,done,P0,12,"Canonicals, sitemap freshness, robots, hreflang if needed, indexation audit.",01,"seo,tech"
CAT-001,Close enrichment PR triage (Dasqua/Mitutoyo/etc.),done,P1,8,Merge or close remaining enrichment PRs with content-only guarantees.,00,"catalog,ops"
CAT-002,INSIZE JSON-schema content fill (staging apply),todo,P1,20,DEFERRED post-checkpoint; owner PMO; revisit 2026-09-23; content-only no invented specs.,02,"insize,content"
CAT-003,Category image coverage for all L1+key L2,done,P1,10,Ensure every homepage/megamenu root has full-bleed quality image.,00,"ui,images"
UX-001,PLP filter + hub IA polish,done,P1,20,"Improve category PLP filters, empty states, mobile sheet clarity.",01,ux
UX-002,PDP trust + specs presentation,done,P0,16,Clarify short vs long description; specs SoT; no duplicate bullets.,01,"ux,pdp"
PERF-001,Core Web Vitals pass on home+PDP+PLP,done,P0,24,LCP/INP/CLS budgets; image priority; font subsetting.,02,"perf,cwv"
SEC-001,Security hygiene pass for go-live bar,done,P1,12,"Admin noindex, step-up coverage, dependency scan, secrets audit.",03,security
BE-001,Catalog API readiness for SEO fields,done,P1,10,"Ensure short_description, meta, specs exposed consistently to storefront.",00,"backend,seo"
FE-001,Design system tokens + homepage consistency,done,P2,12,Align home sections after hero/categories/why-karzar polish.,01,design
KB-001,Knowledge platform phase-1 content graph seed,todo,P2,30,DEFERRED post-checkpoint; owner PMO; revisit 2026-09-23; link articles↔products↔categories without second taxonomy.,04,knowledge
REL-001,Release readiness for 31 Shahrivar checkpoint,done,P0,10,"Freeze P0s, changelog, rollback plan, monitoring checklist.",04,release
TD-001,Pay down category depth / selectable FE drift,done,P2,6,Align admin FE helpers with depth-2|3 selectable rule everywhere.,00,techdebt
OPS-001,Merge promote-measurement workflow fix #81,done,P2,2,Land no-checkout workflow for taxonomy promote on VPS.,00,"ops,ci"
AODS-001,Design the AI-Orchestrated Development System (AODS),done,P1,24,"Audit the repository, then design the governing process system for AI-assisted development: authority model, conflict register, lifecycle, workflow DAG, roles, artifacts, AI execution and Auto Mode strategy, context management, human checkpoints, prompt library, validation gates, risk, knowledge flow, governance, adoption plan. Process-only: no application behaviour changes.",04,"aods,governance,meta,process"
