product_id,db_sku,proposed_product_type,residual_oem_candidates,excluded_variants,exclusion_evidence,required_v1_fact_equivalence,optional_suffix_sensitive_differences,evidence_locator_strategy,eligibility_result,notes
1795,1120-150,INTERNAL_GROOVE_CALIPER,1120-150A|1120-150AWL,1120-150B|1120-1501|1120-1501WL|1120-150P,image beam mark ≥22mm + SET buttons exclude B/*1/P (Type B/C); OEM pdf64,22-150 / 0.01 / ±0.04 identical,wireless/data_output A vs AWL,model=1120-150[A|AWL]; model_candidates=1120-150A|1120-150AWL; identity_state=RESOLVED_EQUIVALENT_FACTS; pdf64/printed56,POLICY_ELIGIBLE,PT already exists; strong image narrowing
1796,1120-200,INTERNAL_GROOVE_CALIPER,1120-200A|1120-200AWL,1120-200B|1120-2001|1120-2001WL,legacy accuracy±0.04 + buttons include set → Type A class; OEM pdf64; image ABSENT,25-200 / 0.01 / ±0.04 identical,wireless/data_output A vs AWL,model=1120-200[A|AWL]; model_candidates=1120-200A|1120-200AWL; identity_state=RESOLVED_EQUIVALENT_FACTS; pdf64/printed56,POLICY_ELIGIBLE,PT exists; legacy used only for narrowing not Fact authority
1797,1120-300,INTERNAL_GROOVE_CALIPER,1120-300A|1120-300AWL,1120-300B|1120-3001|1120-3001WL,source dims L410 b15 c16 d50 e1.5 UNIQUE_MATCH Type A geometry; OEM pdf64; image ABSENT,30-300 / 0.01 / ±0.05 identical,wireless/data_output A vs AWL,model=1120-300[A|AWL]; model_candidates=1120-300A|1120-300AWL; identity_state=RESOLVED_EQUIVALENT_FACTS; pdf64/printed56,POLICY_ELIGIBLE,PT exists; geometry fingerprint narrowing
1799,1121-150,INTERNAL_POINT_CALIPER,1121-150A|1121-150AWL,1121-150B|1121-1501|1121-1501WL,image +24mm marking matches A min range; excludes B/*1; OEM pdf63,24-150 / 0.01 / ±0.04 identical,wireless/data_output A vs AWL,model=1121-150[A|AWL]; model_candidates=1121-150A|1121-150AWL; identity_state=RESOLVED_EQUIVALENT_FACTS; pdf63/printed55,POLICY_ELIGIBLE,PT not yet created; eligible after INTERNAL_POINT PT+Def V1
1835,1185-150,EXTERNAL_GROOVE_CALIPER,1185-150A|1185-150AWL,(none in OEM for size),OEM pdf70/printed62 enumerates only A and AWL for size; identical triad,0-150 / 0.01 / ±0.04 identical,wireless/data_output A vs AWL,model=1185-150[A|AWL]; model_candidates=1185-150A|1185-150AWL; identity_state=RESOLVED_EQUIVALENT_FACTS; pdf70/printed62,POLICY_ELIGIBLE,PT not yet created; catalogue-bounded residual pair
1839,1187-150,EXTERNAL_GROOVE_CALIPER,1187-150A|1187-150AWL,(none in OEM for size),OEM pdf70/printed62 enumerates only A and AWL (neck); identical triad,0-150 / 0.01 / ±0.04 identical,wireless/data_output A vs AWL,model=1187-150[A|AWL]; model_candidates=1187-150A|1187-150AWL; identity_state=RESOLVED_EQUIVALENT_FACTS; pdf70/printed62,POLICY_ELIGIBLE,PT not yet created; catalogue-bounded residual pair
1801,1123-150,INSIDE_KNIFE_EDGE_CALIPER,1123-150A|1123-150AWL,(none in OEM for size),OEM pdf73/printed65 enumerates only A and AWL for 150; identical triad,15-150 / 0.01 / ±0.05 identical,wireless/data_output A vs AWL,model=1123-150[A|AWL]; model_candidates=1123-150A|1123-150AWL; identity_state=RESOLVED_EQUIVALENT_FACTS; pdf73/printed65,POLICY_ELIGIBLE,PT not yet created; 1123-300 is separate RESOLVED_EXACT
1827,1161-150,TUBE_THICKNESS_CALIPER,1161-150A|1161-150AWL,(none in OEM for size),OEM pdf83/printed75 enumerates only A and AWL; identical triad,0-150 / 0.01 / ±0.05 identical,wireless/data_output A vs AWL,model=1161-150[A|AWL]; model_candidates=1161-150A|1161-150AWL; identity_state=RESOLVED_EQUIVALENT_FACTS; pdf83/printed75,POLICY_ELIGIBLE,PT not yet created
1834,1183-150,POINT_CALIPER,1183-150A|1183-150AWL,(none in OEM for size),OEM pdf72/printed64 enumerates only A and AWL; identical triad; image SUPPORTING_ONLY,0-150 / 0.01 / ±0.03 identical,wireless/data_output A vs AWL,model=1183-150[A|AWL]; model_candidates=1183-150A|1183-150AWL; identity_state=RESOLVED_EQUIVALENT_FACTS; pdf72/printed64,POLICY_ELIGIBLE,FIRST PILOT after policy merge; POINT_CALIPER PT+Def V1 already exists; do not ingest in Prompt 130
1836,1186-150,OFFSET_CALIPER,1186-150A|1186-150AWL,(none in OEM for size),OEM pdf82/printed74 enumerates only A and AWL; identical triad,0-150 / 0.01 / ±0.04 identical,wireless/data_output A vs AWL,model=1186-150[A|AWL]; model_candidates=1186-150A|1186-150AWL; identity_state=RESOLVED_EQUIVALENT_FACTS; pdf82/printed74,POLICY_ELIGIBLE,PT not yet created
